Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,,Organic Fertilizer
32,62,30,Loamy,Sugarcane,38,0,0,Urea,,compost and animal manure
37,70,32,Black,Oil seeds,12,0,39,DAP,,Green Manure
26,52,36,Clayey,Pulses,14,0,13,20-20,,Kelp and fish emulsion
29,58,40,Red,Ground Nuts,24,0,23,28-28,,compost and animal manure
30,60,27,Loamy,Sugarcane,12,0,40,DAP,,Green Manure
34,65,38,Clayey,Paddy,39,0,0,Urea,,Kelp and fish emulsion
36,68,38,Sandy,Barley,7,9,30,14-35-14,,Green Manure
26,52,48,Loamy,Wheat,23,0,19,28-28,,Bone meal and wood Ash
28,54,35,Black,Millets,41,0,0,Urea,,compost and animal manure
30,60,61,Loamy,Cotton,8,10,31,14-35-14,,Kelp and fish emulsion
37,70,37,Clayey,Paddy,12,0,41,DAP,,Green Manure
25,50,26,Red,Ground Nuts,15,14,11,17-17-17,,Kelp and fish emulsion
29,58,34,Sandy,Millets,15,0,37,DAP,,compost and animal manure
27,54,30,Clayey,Pulses,13,0,13,20-20,,Bone meal and wood Ash
30,60,58,Loamy,Sugarcane,10,7,32,14-35-14,,vermicompost and banana peels
32,62,34,Red,Tobacco,22,0,24,28-28,,Kelp and fish emulsion
34,65,60,Black,Sugarcane,35,0,0,Urea,,compost and animal manure
35,67,42,Sandy,Barley,10,0,35,DAP,,vermicompost and banana peels
38,70,48,Loamy,Wheat,8,8,28,14-35-14,,poultry manure
26,52,32,Black,Oil seeds,12,0,8,20-20,,Kelp and fish emulsion
29,58,43,Clayey,Paddy,24,0,18,28-28,,Kelp and fish emulsion
30,60,29,Red,Ground Nuts,41,0,0,Urea,,compost and animal manure
33,64,51,Sandy,Maize,5,9,29,14-35-14,,Green Manure
34,65,31,Red,Tobacco,23,0,21,28-28,,Kelp and fish emulsion
36,68,33,Black,Oil seeds,13,0,14,20-20,,Bone meal and wood Ash
28,54,38,Clayey,Pulses,40,0,0,Urea,,Green Manure
30,60,47,Sandy,Barley,12,0,42,DAP,,Bone meal and wood Ash
31,62,63,Red,Cotton,11,12,15,17-17-17,,Kelp and fish emulsion
27,53,43,Black,Millets,23,0,24,28-28,,Bone meal and wood Ash
34,65,54,Loamy,Wheat,38,0,0,Urea,,poultry manure
29,58,37,Sandy,Millets,8,0,15,20-20,,Bone meal and wood Ash
25,50,56,Loamy,Sugarcane,11,13,15,17-17-17,,Kelp and fish emulsion
32,62,34,Red,Ground Nuts,15,0,37,DAP,,Kelp and fish emulsion
28,54,41,Clayey,Paddy,36,0,0,Urea,,poultry manure
30,60,49,Loamy,Wheat,13,0,9,20-20,,poultry manure
34,65,64,Black,Cotton,24,0,20,28-28,,vermicompost and banana peels
28,54,47,Sandy,Barley,5,18,15,10-26-26,,Kelp and fish emulsion
27,53,35,Black,Oil seeds,37,0,0,Urea,,poultry manure
36,68,62,Red,Cotton,15,0,40,DAP,,Bone meal and wood Ash
34,65,57,Black,Sugarcane,9,0,13,20-20,,Green Manure
29,58,55,Loamy,Sugarcane,8,8,33,14-35-14,,Kelp and fish emulsion
25,50,40,Clayey,Pulses,6,19,16,10-26-26,,Bone meal and wood Ash
30,60,38,Sandy,Millets,10,0,14,20-20,,compost and animal manure
26,52,39,Clayey,Pulses,21,0,23,28-28,,Bone meal and wood Ash
31,62,32,Red,Tobacco,39,0,0,Urea,,compost and animal manure
34,65,48,Loamy,Wheat,23,0,19,28-28,,Kelp and fish emulsion
27,53,34,Black,Oil seeds,42,0,0,Urea,,compost and animal manure
33,64,31,Red,Ground Nuts,13,0,39,DAP,,vermicompost and banana peels
29,58,42,Clayey,Paddy,9,10,22,14-35-14,,Bone meal and wood Ash
30,60,47,Sandy,Maize,22,0,21,28-28,,Kelp and fish emulsion
27,53,59,Loamy,Sugarcane,10,0,15,20-20,,Kelp and fish emulsion
26,52,36,Clayey,Pulses,7,16,20,10-26-26,,Bone meal and wood Ash
34,65,63,Red,Cotton,14,0,38,DAP,,vermicompost and banana peels
28,54,43,Clayey,Paddy,10,8,29,14-35-14,,Kelp and fish emulsion
30,60,40,Sandy,Millets,41,0,0,Urea,,Green Manure
29,58,65,Black,Cotton,14,0,35,DAP,,Kelp and fish emulsion
26,52,59,Loamy,Sugarcane,11,0,9,20-20,,compost and animal manure
31,62,44,Sandy,Barley,21,0,28,28-28,,Kelp and fish emulsion
35,67,28,Clayey,Pulses,8,7,31,14-35-14,,Kelp and fish emulsion
29,58,30,Red,Tobacco,13,17,16,10-26-26,,Bone meal and wood Ash
27,53,30,Black,Millets,35,0,0,Urea,,Green Manure
36,68,50,Loamy,Wheat,12,18,19,10-26-26,,Bone meal and wood Ash
29,58,61,Loamy,Cotton,11,0,38,DAP,,Kelp and fish emulsion
30,60,26,Black,Oil seeds,8,9,30,14-35-14,,Kelp and fish emulsion
34,65,45,Clayey,Paddy,6,19,21,10-26-26,,Bone meal and wood Ash
36,68,41,Red,Ground Nuts,41,0,0,Urea,,poultry manure
28,54,25,Sandy,Maize,9,10,30,14-35-14,,Bone meal and wood Ash
25,50,32,Clayey,Pulses,24,0,19,28-28,,Green Manure
30,60,27,Red,Tobacco,4,17,17,10-26-26,,Bone meal and wood Ash
38,72,51,Loamy,Wheat,39,0,0,Urea,,Green Manure
36,60,43,Sandy,Millets,15,0,41,DAP,,Kelp and fish emulsion
29,58,57,Black,Sugarcane,12,0,10,20-20,,compost and animal manure
